Fairbanks,1.6319422135500002e-18,64.8353,-147.6534
Shreveport,1.5497688957124999e-18,32.4659,-93.7959
Joplin,1.52631289114375e-18,37.0759,-94.5006
Corpus Christi,1.524912011665e-18,27.7261,-97.3755
Hilo,1.43879522388625e-18,19.6886,-155.0864
Watertown,1.39945162715125e-18,43.1893,-88.7285
Sioux City,1.39945162715125e-18,42.4959,-96.3901
Lewisburg,1.39945162715125e-18,37.8096,-80.4327
Waterloo,1.39945162715125e-18,43.1835,-88.99
Meridian,1.39945162715125e-18,31.9261,-97.65
Baton Rouge,1.3980507476725e-18,30.4419,-91.131
Bellingham,1.3055537708400001e-18,48.7543,-122.4687
Juneau,1.3055537708400001e-18,43.4053,-88.7041
Missoula,1.232887856115e-18,46.8685,-114.0095
Lake Charles,1.169185103735e-18,30.2022,-93.2141
Brownsville,1.169185103735e-18,43.6145,-88.4952
Mobile,1.169185103735e-18,30.6782,-88.1163
Laredo,1.0671807237899999e-18,27.5617,-99.4874
Augusta,9.7704121106125e-19,44.6784,-91.1203
Amarillo,9.65176343845e-19,35.1989,-101.831
Killeen,9.65176343845e-19,31.0755,-97.7297
Bakersfield,8.450654241724997e-19,35.353,-119.0359
College Station,8.383150798524999e-19,30.5852,-96.296
Billings,7.796381494125e-19,36.5313,-97.4342
Alexandria,7.1145381586e-19,31.2923,-92.4702
Tyler,6.343063199624999e-19,32.3184,-95.3065
Durango,6.0944943591499995e-19,37.2744,-107.8703
Abilene,5.074450559699999e-19,32.4543,-99.7384
Monroe,4.825881719225e-19,47.8596,-121.9853
San Angelo,3.805837919775e-19,31.4426,-100.4501
Lawton,3.805837919775e-19,48.3036,-98.3684
Wichita,3.805837919775e-19,37.6897,-97.3441
Wichita Falls,3.805837919775e-19,33.9072,-98.529
Fort Smith,3.805837919775e-19,35.3493,-94.3695
Montgomery,3.805837919775e-19,38.1741,-81.3241
Gunnison,3.5572690793000003e-19,38.5455,-106.9226
Helena,3.2638844271000004e-19,33.2846,-86.8756
Grand Junction,2.5372252798499997e-19,35.05,-89.1889
Santa Fe,2.5372252798499997e-19,35.6619,-105.9819
Texarkana,2.5372252798499997e-19,33.4487,-94.0815
Roswell,2.5372252798499997e-19,33.373,-104.5294
Hobbs,2.288656439375e-19,32.7282,-103.16
Ithaca,1.701887134975e-19,41.1593,-96.5394
Cheyenne,1.2686126399249999e-19,41.1405,-104.7927
Waco,1.2686126399249999e-19,31.5597,-97.1882
Tallahassee,1.2686126399249999e-19,30.4551,-84.2527
Rapid City,1.2686126399249999e-19,44.8366,-85.2871
Flagstaff,1.2686126399249999e-19,35.1872,-111.6195
Garden City,1.2686126399249999e-19,31.8674,-101.4864
Gainesville,1.2686126399249999e-19,29.6804,-82.3458
Grand Island,1.2686126399249999e-19,40.9214,-98.3584
Alpena,8.509435674875e-20,36.2896,-93.3038
Newburgh,8.509435674875e-20,41.5037,-74.0205
Escanaba,8.509435674875e-20,45.7477,-87.09
Pellston,8.509435674875e-20,45.5519,-84.783
Binghamton,8.509435674875e-20,42.1014,-75.9093
